file,backend,precision,n_lines,n_nonempty_lines,n_qubits,n_qreg_declarations,n_classical_bits,n_measure,n_barrier,n_cx,n_cz,n_cp,n_cy,n_ch,n_swap,n_ccx,n_cswap,n_2q_gates,n_3q_gates,n_x,n_y,n_z,n_h,n_s,n_sdg,n_t,n_tdg,n_rx,n_ry,n_rz,n_u1,n_u2,n_u3,n_u,n_1q_gates,n_total_gates,n_unique_edges,n_edge_repetitions,max_qubit_degree,avg_qubit_degree,qubit_degree_std,n_connected_components,crude_depth,gates_per_layer_estimate,avg_gate_span,max_gate_span,std_gate_span,entanglement_pressure,midpoint_cut_crossings,has_qft_pattern,n_qft_like_gates,has_iqft_pattern,has_grover_pattern,has_variational_pattern,n_rotation_gates,has_ghz_pattern,n_custom_gates,n_opaque_gates,ratio_2q_gates,ratio_1q_gates,gates_per_qubit,2q_gates_per_qubit,1q_gates_per_qubit,circuit_density,max_fidelity_achieved,forward_shots,forward_peak_rss_mb,n_thresholds_tested,min_threshold,forward_runtime
ae_indep_qiskit_130.qasm,CPU,double,9167,9167,130,2,130,130,1,258,0,8256,0,0,0,0,0,8514,0,0,0,0,129,0,0,0,0,0,0,0,0,129,129,130,517,9031,129,129,129,1.9846153846153847,11.183081050191308,1,70.51538461538462,9.14694011126868,64.0,128,37.23797345005051,65.49230769230769,128,1,4428,0,0,0,0,0,0,0,0.9565217391304348,0.043478260869565216,68.46923076923076,65.49230769230769,2.976923076923077,0.007469099025769693,0.9999999993790272,10000,450.6484375,10,8,76.83209070000157
ae_indep_qiskit_20.qasm,CPU,double,312,312,20,2,20,20,1,38,0,171,0,0,0,0,0,209,0,0,0,0,19,0,0,0,0,0,0,0,0,19,19,20,77,286,19,19,19,1.9,3.9230090491866068,1,15.6,6.08974358974359,9.0,18,5.477225575051661,10.45,18,1,171,0,0,0,0,0,0,0,0.7857142857142857,0.21428571428571427,13.3,10.45,2.85,0.04262820512820513,0.9933106030039517,10000,426.69140625,3,1,7.064479499999834
ae_indep_qiskit_20.qasm,CPU,single,312,312,20,2,20,20,1,38,0,171,0,0,0,0,0,209,0,0,0,0,19,0,0,0,0,0,0,0,0,19,19,20,77,286,19,19,19,1.9,3.9230090491866068,1,15.6,6.08974358974359,9.0,18,5.477225575051661,10.45,18,1,171,0,0,0,0,0,0,0,0.7857142857142857,0.21428571428571427,13.3,10.45,2.85,0.04262820512820513,0.9933355399117253,10000,427.0,3,2,5.4808029000000715
ae_indep_qiskit_20.qasm,GPU,double,312,312,20,2,20,20,1,38,0,171,0,0,0,0,0,209,0,0,0,0,19,0,0,0,0,0,0,0,0,19,19,20,77,286,19,19,19,1.9,3.9230090491866068,1,15.6,6.08974358974359,9.0,18,5.477225575051661,10.45,18,1,171,0,0,0,0,0,0,0,0.7857142857142857,0.21428571428571427,13.3,10.45,2.85,0.04262820512820513,0.9933106318813488,10000,877.51953125,3,1,8.741223300000001
ae_indep_qiskit_20.qasm,GPU,single,312,312,20,2,20,20,1,38,0,171,0,0,0,0,0,209,0,0,0,0,19,0,0,0,0,0,0,0,0,19,19,20,77,286,19,19,19,1.9,3.9230090491866068,1,15.6,6.08974358974359,9.0,18,5.477225575051661,10.45,18,1,171,0,0,0,0,0,0,0,0.7857142857142857,0.21428571428571427,13.3,10.45,2.85,0.04262820512820513,0.9933391042535065,10000,511.078125,3,2,6.923386600000413
cutbell_n30_k6.qasm,CPU,double,46,46,30,1,30,30,0,6,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,12,6,0,1,1.0,0.0,6,1.5333333333333334,7.826086956521738,15.0,15,0.0,0.2,6,0,0,0,0,0,0,1,0,0,0.5,0.5,0.4,0.2,0.2,0.008695652173913044,1.0,10000,426.83984375,2,2,19.727006099999926
cutbell_n30_k6.qasm,CPU,single,46,46,30,1,30,30,0,6,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,12,6,0,1,1.0,0.0,6,1.5333333333333334,7.826086956521738,15.0,15,0.0,0.2,6,0,0,0,0,0,0,1,0,0,0.5,0.5,0.4,0.2,0.2,0.008695652173913044,0.9999992847443906,10000,426.5,2,2,6.355348400000139
cutbell_n30_k6.qasm,GPU,double,46,46,30,1,30,30,0,6,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,12,6,0,1,1.0,0.0,6,1.5333333333333334,7.826086956521738,15.0,15,0.0,0.2,6,0,0,0,0,0,0,1,0,0,0.5,0.5,0.4,0.2,0.2,0.008695652173913044,1.0000000000000027,10000,843.59765625,2,2,20.084437799999932
cutbell_n30_k6.qasm,GPU,single,46,46,30,1,30,30,0,6,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,12,6,0,1,1.0,0.0,6,1.5333333333333334,7.826086956521738,15.0,15,0.0,0.2,6,0,0,0,0,0,0,1,0,0,0.5,0.5,0.4,0.2,0.2,0.008695652173913044,1.0,10000,478.984375,2,2,6.362876700000015
dj_indep_qiskit_130.qasm,CPU,double,522,522,130,1,129,129,1,129,0,0,0,0,0,0,0,129,0,0,0,0,140,0,0,0,0,0,0,0,0,119,0,0,259,388,129,0,129,1.9846153846153847,11.183081050191308,1,4.015384615384615,96.62835249042146,65.0,129,37.23797345005051,0.9923076923076923,65,0,0,0,0,0,0,0,0,0,0.3324742268041237,0.6675257731958762,2.9846153846153847,0.9923076923076923,1.9923076923076923,0.0057176539935160624,0.9999999999905649,10000,428.2578125,1,1,2588.3113831
dj_indep_qiskit_130.qasm,CPU,single,522,522,130,1,129,129,1,129,0,0,0,0,0,0,0,129,0,0,0,0,140,0,0,0,0,0,0,0,0,119,0,0,259,388,129,0,129,1.9846153846153847,11.183081050191308,1,4.015384615384615,96.62835249042146,65.0,129,37.23797345005051,0.9923076923076923,65,0,0,0,0,0,0,0,0,0,0.3324742268041237,0.6675257731958762,2.9846153846153847,0.9923076923076923,1.9923076923076923,0.0057176539935160624,0.9999842644356818,10000,428.8125,1,1,435.80848079999987
dj_indep_qiskit_130.qasm,GPU,double,522,522,130,1,129,129,1,129,0,0,0,0,0,0,0,129,0,0,0,0,140,0,0,0,0,0,0,0,0,119,0,0,259,388,129,0,129,1.9846153846153847,11.183081050191308,1,4.015384615384615,96.62835249042146,65.0,129,37.23797345005051,0.9923076923076923,65,0,0,0,0,0,0,0,0,0,0.3324742268041237,0.6675257731958762,2.9846153846153847,0.9923076923076923,1.9923076923076923,0.0057176539935160624,1.0000000000005929,10000,849.078125,1,1,2473.6742729999996
dj_indep_qiskit_130.qasm,GPU,single,522,522,130,1,129,129,1,129,0,0,0,0,0,0,0,129,0,0,0,0,140,0,0,0,0,0,0,0,0,119,0,0,259,388,129,0,129,1.9846153846153847,11.183081050191308,1,4.015384615384615,96.62835249042146,65.0,129,37.23797345005051,0.9923076923076923,65,0,0,0,0,0,0,0,0,0,0.3324742268041237,0.6675257731958762,2.9846153846153847,0.9923076923076923,1.9923076923076923,0.0057176539935160624,0.9999924898638415,10000,483.234375,1,1,508.9860284000006
dj_indep_qiskit_15.qasm,CPU,double,62,62,15,1,14,14,1,14,0,0,0,0,0,0,0,14,0,0,0,0,10,0,0,0,0,0,0,0,0,19,0,0,29,43,14,0,14,1.8666666666666667,3.2427697352040816,1,4.133333333333334,10.403225806451612,7.5,14,4.031128874149275,0.9333333333333333,7,0,0,0,0,0,0,0,0,0,0.32558139534883723,0.6744186046511628,2.8666666666666667,0.9333333333333333,1.9333333333333333,0.046236559139784944,0.9999999999998832,10000,425.93359375,1,1,27.689442199999803
dj_indep_qiskit_15.qasm,CPU,single,62,62,15,1,14,14,1,14,0,0,0,0,0,0,0,14,0,0,0,0,10,0,0,0,0,0,0,0,0,19,0,0,29,43,14,0,14,1.8666666666666667,3.2427697352040816,1,4.133333333333334,10.403225806451612,7.5,14,4.031128874149275,0.9333333333333333,7,0,0,0,0,0,0,0,0,0,0.32558139534883723,0.6744186046511628,2.8666666666666667,0.9333333333333333,1.9333333333333333,0.046236559139784944,0.9999979734431044,10000,426.40625,1,1,5.834394200000133
dj_indep_qiskit_15.qasm,GPU,double,62,62,15,1,14,14,1,14,0,0,0,0,0,0,0,14,0,0,0,0,10,0,0,0,0,0,0,0,0,19,0,0,29,43,14,0,14,1.8666666666666667,3.2427697352040816,1,4.133333333333334,10.403225806451612,7.5,14,4.031128874149275,0.9333333333333333,7,0,0,0,0,0,0,0,0,0,0.32558139534883723,0.6744186046511628,2.8666666666666667,0.9333333333333333,1.9333333333333333,0.046236559139784944,1.0000000000000155,10000,847.10546875,1,1,27.383448000000044
dj_indep_qiskit_15.qasm,GPU,single,62,62,15,1,14,14,1,14,0,0,0,0,0,0,0,14,0,0,0,0,10,0,0,0,0,0,0,0,0,19,0,0,29,43,14,0,14,1.8666666666666667,3.2427697352040816,1,4.133333333333334,10.403225806451612,7.5,14,4.031128874149275,0.9333333333333333,7,0,0,0,0,0,0,0,0,0,0.32558139534883723,0.6744186046511628,2.8666666666666667,0.9333333333333333,1.9333333333333333,0.046236559139784944,0.9999984502799326,10000,480.73046875,1,1,6.379441999999926
dj_indep_qiskit_30.qasm,CPU,double,122,122,30,1,29,29,1,29,0,0,0,0,0,0,0,29,0,0,0,0,30,0,0,0,0,0,0,0,0,29,0,0,59,88,29,0,29,1.9333333333333333,5.026153819992203,1,4.066666666666666,21.639344262295083,15.0,29,8.366600265340756,0.9666666666666667,15,0,0,0,0,0,0,0,0,0,0.32954545454545453,0.6704545454545454,2.933333333333333,0.9666666666666667,1.9666666666666666,0.024043715846994537,0.9999999999995062,10000,426.12109375,1,1,140.22691629999986
dj_indep_qiskit_30.qasm,CPU,single,122,122,30,1,29,29,1,29,0,0,0,0,0,0,0,29,0,0,0,0,30,0,0,0,0,0,0,0,0,29,0,0,59,88,29,0,29,1.9333333333333333,5.026153819992203,1,4.066666666666666,21.639344262295083,15.0,29,8.366600265340756,0.9666666666666667,15,0,0,0,0,0,0,0,0,0,0.32954545454545453,0.6704545454545454,2.933333333333333,0.9666666666666667,1.9666666666666666,0.024043715846994537,0.9999961853063724,10000,426.25390625,1,1,22.73204769999984
dj_indep_qiskit_30.qasm,GPU,double,122,122,30,1,29,29,1,29,0,0,0,0,0,0,0,29,0,0,0,0,30,0,0,0,0,0,0,0,0,29,0,0,59,88,29,0,29,1.9333333333333333,5.026153819992203,1,4.066666666666666,21.639344262295083,15.0,29,8.366600265340756,0.9666666666666667,15,0,0,0,0,0,0,0,0,0,0.32954545454545453,0.6704545454545454,2.933333333333333,0.9666666666666667,1.9666666666666666,0.024043715846994537,1.0000000000000129,10000,847.02734375,1,1,124.94764359999999
dj_indep_qiskit_30.qasm,GPU,single,122,122,30,1,29,29,1,29,0,0,0,0,0,0,0,29,0,0,0,0,30,0,0,0,0,0,0,0,0,29,0,0,59,88,29,0,29,1.9333333333333333,5.026153819992203,1,4.066666666666666,21.639344262295083,15.0,29,8.366600265340756,0.9666666666666667,15,0,0,0,0,0,0,0,0,0,0.32954545454545453,0.6704545454545454,2.933333333333333,0.9666666666666667,1.9666666666666666,0.024043715846994537,0.9999983310715133,10000,481.5,1,1,23.175904299999956
ghz_indep_qiskit_100.qasm,CPU,double,205,205,100,1,100,100,1,99,0,0,0,0,0,0,0,99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,100,99,0,2,1.98,0.13999999999999999,1,2.05,48.78048780487805,1.0,1,0.0,0.99,1,0,0,0,0,0,0,0,0,0,0.99,0.01,1.0,0.99,0.01,0.004878048780487805,1.0,10000,429.50390625,2,2,31.991855699999633
ghz_indep_qiskit_100.qasm,CPU,single,205,205,100,1,100,100,1,99,0,0,0,0,0,0,0,99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,100,99,0,2,1.98,0.13999999999999999,1,2.05,48.78048780487805,1.0,1,0.0,0.99,1,0,0,0,0,0,0,0,0,0,0.99,0.01,1.0,0.99,0.01,0.004878048780487805,0.9999997615814351,10000,428.5,2,2,27.375924699999814
ghz_indep_qiskit_100.qasm,GPU,double,205,205,100,1,100,100,1,99,0,0,0,0,0,0,0,99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,100,99,0,2,1.98,0.13999999999999999,1,2.05,48.78048780487805,1.0,1,0.0,0.99,1,0,0,0,0,0,0,0,0,0,0.99,0.01,1.0,0.99,0.01,0.004878048780487805,1.0,10000,860.45703125,2,2,34.74685490000002
ghz_indep_qiskit_100.qasm,GPU,single,205,205,100,1,100,100,1,99,0,0,0,0,0,0,0,99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,100,99,0,2,1.98,0.13999999999999999,1,2.05,48.78048780487805,1.0,1,0.0,0.99,1,0,0,0,0,0,0,0,0,0,0.99,0.01,1.0,0.99,0.01,0.004878048780487805,0.999999880790714,10000,492.625,2,2,28.816308299999946
ghz_indep_qiskit_130.qasm,CPU,double,265,265,130,1,130,130,1,129,0,0,0,0,0,0,0,129,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,130,129,0,2,1.9846153846153847,0.12307692307692308,1,2.0384615384615383,63.77358490566038,1.0,1,0.0,0.9923076923076923,1,0,0,0,0,0,0,0,0,0,0.9923076923076923,0.007692307692307693,1.0,0.9923076923076923,0.007692307692307693,0.0037735849056603774,1.0,10000,430.04296875,2,2,41.90187470000001
ghz_indep_qiskit_130.qasm,CPU,single,265,265,130,1,130,130,1,129,0,0,0,0,0,0,0,129,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,130,129,0,2,1.9846153846153847,0.12307692307692308,1,2.0384615384615383,63.77358490566038,1.0,1,0.0,0.9923076923076923,1,0,0,0,0,0,0,0,0,0,0.9923076923076923,0.007692307692307693,1.0,0.9923076923076923,0.007692307692307693,0.0037735849056603774,0.9999997615814351,10000,429.60546875,2,2,35.55706049999981
ghz_indep_qiskit_130.qasm,GPU,double,265,265,130,1,130,130,1,129,0,0,0,0,0,0,0,129,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,130,129,0,2,1.9846153846153847,0.12307692307692308,1,2.0384615384615383,63.77358490566038,1.0,1,0.0,0.9923076923076923,1,0,0,0,0,0,0,0,0,0,0.9923076923076923,0.007692307692307693,1.0,0.9923076923076923,0.007692307692307693,0.0037735849056603774,1.0,10000,860.41796875,2,2,42.411199099999976
ghz_indep_qiskit_130.qasm,GPU,single,265,265,130,1,130,130,1,129,0,0,0,0,0,0,0,129,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,130,129,0,2,1.9846153846153847,0.12307692307692308,1,2.0384615384615383,63.77358490566038,1.0,1,0.0,0.9923076923076923,1,0,0,0,0,0,0,0,0,0,0.9923076923076923,0.007692307692307693,1.0,0.9923076923076923,0.007692307692307693,0.0037735849056603774,0.999999880790714,10000,494.92578125,2,2,35.91593550000016
ghz_indep_qiskit_15.qasm,CPU,double,35,35,15,1,15,15,1,14,0,0,0,0,0,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,15,14,0,2,1.8666666666666667,0.33993463423951903,1,2.3333333333333335,6.428571428571428,1.0,1,0.0,0.9333333333333333,1,0,0,0,0,0,0,1,0,0,0.9333333333333333,0.06666666666666667,1.0,0.9333333333333333,0.06666666666666667,0.02857142857142857,1.0,10000,426.21484375,2,2,4.587869800000135
ghz_indep_qiskit_15.qasm,CPU,single,35,35,15,1,15,15,1,14,0,0,0,0,0,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,15,14,0,2,1.8666666666666667,0.33993463423951903,1,2.3333333333333335,6.428571428571428,1.0,1,0.0,0.9333333333333333,1,0,0,0,0,0,0,1,0,0,0.9333333333333333,0.06666666666666667,1.0,0.9333333333333333,0.06666666666666667,0.02857142857142857,0.9999997615814351,10000,426.08203125,2,2,4.049046599999883
ghz_indep_qiskit_15.qasm,GPU,double,35,35,15,1,15,15,1,14,0,0,0,0,0,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,15,14,0,2,1.8666666666666667,0.33993463423951903,1,2.3333333333333335,6.428571428571428,1.0,1,0.0,0.9333333333333333,1,0,0,0,0,0,0,1,0,0,0.9333333333333333,0.06666666666666667,1.0,0.9333333333333333,0.06666666666666667,0.02857142857142857,1.0,10000,857.19921875,2,2,4.6660391999998865
ghz_indep_qiskit_15.qasm,GPU,single,35,35,15,1,15,15,1,14,0,0,0,0,0,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,15,14,0,2,1.8666666666666667,0.33993463423951903,1,2.3333333333333335,6.428571428571428,1.0,1,0.0,0.9333333333333333,1,0,0,0,0,0,0,1,0,0,0.9333333333333333,0.06666666666666667,1.0,0.9333333333333333,0.06666666666666667,0.02857142857142857,0.999999880790714,10000,489.56640625,2,2,4.037961699999869
ghz_indep_qiskit_30.qasm,CPU,double,65,65,30,1,30,30,1,29,0,0,0,0,0,0,0,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,30,29,0,2,1.9333333333333333,0.24944382578492943,1,2.1666666666666665,13.846153846153847,1.0,1,0.0,0.9666666666666667,1,0,0,0,0,0,0,0,0,0,0.9666666666666667,0.03333333333333333,1.0,0.9666666666666667,0.03333333333333333,0.015384615384615385,1.0,10000,427.03125,2,2,9.886934099999962
ghz_indep_qiskit_30.qasm,CPU,single,65,65,30,1,30,30,1,29,0,0,0,0,0,0,0,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,30,29,0,2,1.9333333333333333,0.24944382578492943,1,2.1666666666666665,13.846153846153847,1.0,1,0.0,0.9666666666666667,1,0,0,0,0,0,0,0,0,0,0.9666666666666667,0.03333333333333333,1.0,0.9666666666666667,0.03333333333333333,0.015384615384615385,0.9999997615814351,10000,426.84375,2,2,8.152040200000101
ghz_indep_qiskit_30.qasm,GPU,double,65,65,30,1,30,30,1,29,0,0,0,0,0,0,0,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,30,29,0,2,1.9333333333333333,0.24944382578492943,1,2.1666666666666665,13.846153846153847,1.0,1,0.0,0.9666666666666667,1,0,0,0,0,0,0,0,0,0,0.9666666666666667,0.03333333333333333,1.0,0.9666666666666667,0.03333333333333333,0.015384615384615385,1.0,10000,857.734375,2,2,9.580995499999972
ghz_indep_qiskit_30.qasm,GPU,single,65,65,30,1,30,30,1,29,0,0,0,0,0,0,0,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,30,29,0,2,1.9333333333333333,0.24944382578492943,1,2.1666666666666665,13.846153846153847,1.0,1,0.0,0.9666666666666667,1,0,0,0,0,0,0,0,0,0,0.9666666666666667,0.03333333333333333,1.0,0.9666666666666667,0.03333333333333333,0.015384615384615385,0.999999880790714,10000,491.2734375,2,2,8.169279399999823
graphstate_indep_qiskit_15.qasm,CPU,single,50,50,15,1,15,15,1,0,15,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,15,30,15,0,2,2.0,0.0,2,3.3333333333333335,9.0,3.6,11,3.479463560186637,1.0,6,0,0,0,0,0,0,0,0,0,0.5,0.5,2.0,1.0,1.0,0.04,0.9999991655351472,10000,432.2734375,8,4,6.154954899999893
graphstate_indep_qiskit_15.qasm,GPU,double,50,50,15,1,15,15,1,0,15,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,15,30,15,0,2,2.0,0.0,2,3.3333333333333335,9.0,3.6,11,3.479463560186637,1.0,6,0,0,0,0,0,0,0,0,0,0.5,0.5,2.0,1.0,1.0,0.04,1.0000000000000027,10000,873.40625,3,4,17.49349589999997
graphstate_indep_qiskit_15.qasm,GPU,single,50,50,15,1,15,15,1,0,15,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,15,30,15,0,2,2.0,0.0,2,3.3333333333333335,9.0,3.6,11,3.479463560186637,1.0,6,0,0,0,0,0,0,0,0,0,0.5,0.5,2.0,1.0,1.0,0.04,0.9999997615814351,10000,508.890625,3,4,6.3882796999998845
groundstate_large_indep_qiskit_14.qasm,CPU,double,243,243,14,1,14,14,1,0,182,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,42,224,91,91,13,13.0,0.0,1,17.357142857142858,12.905349794238683,5.0,13,3.1622776601683795,13.0,98,0,0,0,0,0,0,0,0,0,0.8125,0.1875,16.0,13.0,3.0,0.06584362139917696,1.000000000002697,10000,426.4375,4,8,24.401681600000302
groundstate_large_indep_qiskit_14.qasm,CPU,single,243,243,14,1,14,14,1,0,182,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,42,224,91,91,13,13.0,0.0,1,17.357142857142858,12.905349794238683,5.0,13,3.1622776601683795,13.0,98,0,0,0,0,0,0,0,0,0,0.8125,0.1875,16.0,13.0,3.0,0.06584362139917696,0.9997676746156348,10000,425.87890625,4,8,8.345107699999971
groundstate_large_indep_qiskit_14.qasm,GPU,double,243,243,14,1,14,14,1,0,182,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,42,224,91,91,13,13.0,0.0,1,17.357142857142858,12.905349794238683,5.0,13,3.1622776601683795,13.0,98,0,0,0,0,0,0,0,0,0,0.8125,0.1875,16.0,13.0,3.0,0.06584362139917696,1.0000000000002176,10000,876.78515625,4,8,28.208706599999914
groundstate_large_indep_qiskit_14.qasm,GPU,single,243,243,14,1,14,14,1,0,182,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,42,224,91,91,13,13.0,0.0,1,17.357142857142858,12.905349794238683,5.0,13,3.1622776601683795,13.0,98,0,0,0,0,0,0,0,0,0,0.8125,0.1875,16.0,13.0,3.0,0.06584362139917696,0.9999998807914314,10000,509.984375,4,8,9.904581600000256
grover-noancilla_indep_qiskit_11.qasm,CPU,double,77178,77178,11,2,11,11,1,38300,0,25575,0,0,0,0,0,63875,0,1,0,0,10,0,0,0,0,0,0,0,0,500,0,0,511,64386,45,38255,9,9.0,0.0,1,7016.181818181818,5.531641141257872,6.711488250652741,9,1.925247569240009,5806.818181818182,35700,1,25575,0,0,0,0,0,0,0,0.9920634920634921,0.007936507936507936,5853.272727272727,5806.818181818182,46.45454545454545,0.07584120769225333,0.999999999989406,10000,512.44140625,1,1,13.902692500007106
